[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] favorite.delete
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] favorite.create
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] favorite.getFavoriteById
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] favorite.getFavoriteBySpuId
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] footprint.list
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] footprint.delete
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] footprint.deleteAll
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] groupshop.getGroupShopPage
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] integral.getIndexData
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.cancel
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.refund
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.getOrderDetail
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.takeOrder
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.getOrderPage
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.offlinePrepay
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.previewFreight
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.queryShip
[2025-12-28 10:59:07.017] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.confirm
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] order.prepay
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] product.getProductPage
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] product.getProduct
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.info
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.register
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.logout
[2025-12-28 10:59:07.018] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.login
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.resetPassword
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.sendVerifyCode
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.thirdPartLogin
